2019/06/18 13:51:43:887 INFO K$a.b: Got updated scene model [placeId=818, config=[type=data.TownSceneConfig, ], scene=2/%town:m.haven_bazaar/-250042096]
2019/06/18 13:52:21:570 INFO K$a.b: Got updated scene model [placeId=820, config=[type=data.TownSceneConfig, ], scene=1/%town:m.haven_town_square/1111932038]
2019/06/18 13:53:35:688 INFO K$a.b: Got updated scene model [placeId=1231, config=[type=data.TownSceneConfig, ], scene=445/%town:m.haven_eastside/-1605088030]
2019/06/18 13:54:18:788 INFO K$a.b: Got updated scene model [placeId=1270, config=[type=data.TownSceneConfig, ], scene=3/%town:m.haven_arcade/-1324583766]
2019/06/18 15:19:58:668 INFO K$a.b: Got updated scene model [placeId=1301, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741873/%dungeon:m.treasure_vault_1/1]
2019/06/18 15:24:24:803 INFO K$a.b: Got updated scene model [placeId=1304, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741874/%dungeon:m.rc_beast_minis/1]
2019/06/18 15:27:51:387 INFO K$a.b: Got updated scene model [placeId=1306, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741875/%dungeon:m.ww_beast/1]
2019/06/18 15:31:32:272 INFO K$a.b: Got updated scene model [placeId=1308, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741876/%dungeon:m.devilish_drudgery_vanilla/1]
2019/06/18 15:34:49:207 INFO K$a.b: Got updated scene model [placeId=1310, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=286/%dungeon:m.dark_city_devilish_drudgery_4/278]
2019/06/18 15:38:49:025 INFO K$a.b: Got updated scene model [placeId=1313, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=290/%dungeon:m.dark_city_devilish_drudgery_6/277]
2019/06/18 15:43:29:393 INFO K$a.b: Got updated scene model [placeId=1314, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741877/%dungeon:m.devilish_drudgery_freeze/1]
2019/06/18 15:46:35:894 INFO K$a.b: Got updated scene model [placeId=1316, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=349/%dungeon:m.emberlight/277]
2019/06/18 15:49:22:829 INFO K$a.b: Got updated scene model [placeId=1317, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=365/%dungeon:m.aurora_isles_the_low_gardens/278]
2019/06/18 15:54:39:997 INFO K$a.b: Got updated scene model [placeId=1322, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741878/%dungeon:m.ct_beast/1]
2019/06/18 15:58:43:549 INFO K$a.b: Got updated scene model [placeId=1323, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741879/%dungeon:m.wolver_den_freeze/1]
2019/06/18 16:02:05:850 INFO K$a.b: Got updated scene model [placeId=1329, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741880/%dungeon:m.wolver_den_vanilla/1]
2019/06/18 16:05:16:751 INFO K$a.b: Got updated scene model [placeId=1331, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=330/%dungeon:m.terminal_1/277]
2019/06/18 16:06:42:334 INFO K$a.b: Got updated scene model [placeId=1332, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741882/%dungeon:m.fc_undead_minis/1]
2019/06/18 16:17:50:955 INFO K$a.b: Got updated scene model [placeId=1333, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741883/%dungeon:m.cc_undead/1]
2019/06/18 16:25:23:058 INFO K$a.b: Got updated scene model [placeId=1334, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741884/%dungeon:m.cc_fiend/1]
2019/06/18 16:35:25:061 INFO K$a.b: Got updated scene model [placeId=1336, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741885/%dungeon:m.deconstruction_zone_freeze/1]
2019/06/18 16:38:26:029 INFO K$a.b: Got updated scene model [placeId=1337, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741886/%dungeon:m.cc_beast/1]
2019/06/18 16:45:03:149 INFO K$a.b: Got updated scene model [placeId=1340, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=328/%dungeon:m.terminal_core/276]
2019/06/19 20:07:19:689 INFO K$a.b: Got updated scene model [placeId=744, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=363/%dungeon:m.aurora_isles_the_jelly_farm/278]
2019/06/19 20:15:11:291 INFO K$a.b: Got updated scene model [placeId=627, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=361/%dungeon:m.aurora_isles_stone_grove/277]
2019/06/19 20:33:12:515 INFO K$a.b: Got updated scene model [placeId=942, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=364/%dungeon:m.aurora_isles_the_jelly_farm_2/278]
