2019/06/08 22:50:13:433 INFO K$a.b: Got updated scene model [placeId=116, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=398/%dungeon:The Crash Site|Waking in a New World/2008778103]
2019/06/12 21:23:18:660 INFO K$a.b: Got updated scene model [placeId=371, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741858/%dungeon:Power Grid/1]
2019/06/12 21:31:31:396 INFO K$a.b: Got updated scene model [placeId=436, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741856/%dungeon:Tracking/1]
2019/06/12 21:42:16:584 INFO K$a.b: Got updated scene model [placeId=447, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741858/%dungeon:Resistance/1]
2019/06/12 21:49:44:036 INFO K$a.b: Got updated scene model [placeId=458, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741860/%dungeon:Extraction/1]
2019/06/12 22:46:54:271 INFO K$a.b: Got updated scene model [placeId=641, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741873/%dungeon:Toxic Cavern/1]
2019/06/12 22:50:15:605 INFO K$a.b: Got updated scene model [placeId=647, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741874/%dungeon:Power Grid/1]
2019/06/12 23:02:11:992 INFO K$a.b: Got updated scene model [placeId=372, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741844/%dungeon:Darkness Above/1]
2019/06/12 23:05:24:109 INFO K$a.b: Got updated scene model [placeId=373, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741845/%dungeon:Sol'Fork Skyway/1]
2019/06/12 23:08:32:710 INFO K$a.b: Got updated scene model [placeId=374, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741846/%dungeon:Sol'Fork Downtown/1]
2019/06/12 23:13:56:945 INFO K$a.b: Got updated scene model [placeId=563, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741873/%dungeon:Wasteworks Access/1]
2019/06/12 23:17:39:063 INFO K$a.b: Got updated scene model [placeId=568, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741874/%dungeon:Security Outpost/1]
2019/06/12 23:21:28:081 INFO K$a.b: Got updated scene model [placeId=573, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741876/%dungeon:Weapons Cache/1]
2019/06/12 23:27:53:349 INFO K$a.b: Got updated scene model [placeId=676, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=320/%dungeon:Ironclaw Munitions Factory|Abandoned Assembly/277]
2019/06/12 23:38:56:036 INFO K$a.b: Got updated scene model [placeId=684, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=324/%dungeon:Ironclaw Munitions Factory|Warfare Workshop/277]
2019/06/12 23:51:00:223 INFO K$a.b: Got updated scene model [placeId=686, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=322/%dungeon:Ironclaw Munitions Factory|The Roarmulus Twins/277]
2019/06/13 00:00:47:176 INFO K$a.b: Got updated scene model [placeId=304, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=317/%dungeon:The Defenders/806762715]
2019/06/13 21:45:21:454 INFO K$a.b: Got updated scene model [placeId=782, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741896/%dungeon:Killer Trail/1]
2019/06/13 21:52:38:207 INFO K$a.b: Got updated scene model [placeId=794, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741897/%dungeon:Ice Cube Alley/1]
2019/06/13 21:59:19:625 INFO K$a.b: Got updated scene model [placeId=800, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=394/%dungeon:Starlight Cradle|Lizard Lounge/278]
2019/06/13 22:07:52:644 INFO K$a.b: Got updated scene model [placeId=801, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741882/%dungeon:The Creeping Colony/1]
2019/06/13 22:17:54:147 INFO K$a.b: Got updated scene model [placeId=810, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741884/%dungeon:The Hungry Den/1]
2019/06/13 22:21:17:299 INFO K$a.b: Got updated scene model [placeId=812, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741885/%dungeon:The Oozing Onslaught/1]
2019/06/13 22:40:14:738 INFO K$a.b: Got updated scene model [placeId=662, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=369/%dungeon:Lumbering Doom/278]
2019/06/13 22:47:02:208 INFO K$a.b: Got updated scene model [placeId=676, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=377/%dungeon:Barking Mad/278]
2019/06/13 22:51:50:409 INFO K$a.b: Got updated scene model [placeId=686, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=373/%dungeon:Outpost of Tyranny/278]
2019/06/13 23:12:30:900 INFO K$a.b: Got updated scene model [placeId=403, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=371/%dungeon:Outpost of Tyranny/278]
2019/06/13 23:25:38:838 INFO K$a.b: Got updated scene model [placeId=500, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741850/%dungeon:The Cold March/1]
2019/06/13 23:32:53:723 INFO K$a.b: Got updated scene model [placeId=515, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741851/%dungeon:The Iron Tundra/1]
2019/06/13 23:35:29:357 INFO K$a.b: Got updated scene model [placeId=517, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741852/%dungeon:The Bitter Battle/1]
2019/06/13 23:44:16:678 INFO K$a.b: Got updated scene model [placeId=521, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=31444/%dungeon:Hidden Hideout/176]
2019/06/13 23:56:23:848 INFO K$a.b: Got updated scene model [placeId=644, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=287/%dungeon:Dimensional Shift/278]
2019/06/13 23:59:36:982 INFO K$a.b: Got updated scene model [placeId=784, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=289/%dungeon:Dimensional Shift/278]
2019/06/14 00:13:29:437 INFO K$a.b: Got updated scene model [placeId=788, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=291/%dungeon:The Summoning Circle/276]
2019/06/14 00:19:39:522 INFO K$a.b: Got updated scene model [placeId=791, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=293/%dungeon:Banishment/276]
2019/06/14 00:32:19:910 INFO K$a.b: Got updated scene model [placeId=805, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741883/%dungeon:The Forsaken/1]
2019/06/14 00:35:41:661 INFO K$a.b: Got updated scene model [placeId=808, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741884/%dungeon:Inner Demons/1]
2019/06/14 00:40:29:212 INFO K$a.b: Got updated scene model [placeId=809, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741885/%dungeon:Eternal Struggle/1]
2019/06/14 00:51:55:683 INFO K$a.b: Got updated scene model [placeId=541, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741874/%dungeon:Forgotten Trail/1]
2019/06/14 00:55:17:417 INFO K$a.b: Got updated scene model [placeId=544, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741875/%dungeon:Lichen Colony/1]
2019/06/14 00:58:29:152 INFO K$a.b: Got updated scene model [placeId=545, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741876/%dungeon:Processing Plant/1]
2019/06/14 21:44:29:585 INFO K$a.b: Got updated scene model [placeId=126, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=275/%dungeon:Streets of Decay/278]
2019/06/14 21:46:17:769 INFO K$a.b: Got updated scene model [placeId=366, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=273/%dungeon:Streets of Decay/278]
2019/06/14 21:50:11:970 INFO K$a.b: Got updated scene model [placeId=367, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=282/%dungeon:Further Decline/277]
2019/06/14 21:56:48:555 INFO K$a.b: Got updated scene model [placeId=220, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=280/%dungeon:Further Decline/278]
2019/06/14 22:00:40:656 INFO K$a.b: Got updated scene model [placeId=223, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=277/%dungeon:Citizen Uprising/279]
2019/06/14 22:17:47:128 INFO K$a.b: Got updated scene model [placeId=682, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741901/%dungeon:Prison Approach/1]
2019/06/14 22:24:23:996 INFO K$a.b: Got updated scene model [placeId=695, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741902/%dungeon:The Yard/1]
2019/06/14 22:34:57:300 INFO K$a.b: Got updated scene model [placeId=699, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741903/%dungeon:Down the Drain/1]
2019/06/14 22:43:53:552 INFO K$a.b: Got updated scene model [placeId=711, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=318/%dungeon:The Champions/801400335]
2019/06/14 22:46:12:739 INFO K$a.b: Got updated scene model [placeId=415, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741866/%dungeon:The Dead March/1]
2019/06/14 22:48:57:920 INFO K$a.b: Got updated scene model [placeId=419, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=244/%dungeon:The Hall of Remembrance/276]
2019/06/14 22:56:39:823 INFO K$a.b: Got updated scene model [placeId=437, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741868/%dungeon:The Forgotten Library/1]
2019/06/14 23:09:35:044 INFO K$a.b: Got updated scene model [placeId=258, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741831/%dungeon:Poisoned Minds/1]
2019/06/14 23:12:38:094 INFO K$a.b: Got updated scene model [placeId=260, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741832/%dungeon:Cold Hearts/1]
2019/06/14 23:17:36:462 INFO K$a.b: Got updated scene model [placeId=263, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=261/%dungeon:Cryptic Statuary/277]
2019/06/14 23:32:07:300 INFO K$a.b: Got updated scene model [placeId=447, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741874/%dungeon:Code Yellow/1]
2019/06/14 23:35:33:468 INFO K$a.b: Got updated scene model [placeId=449, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741875/%dungeon:Code Orange/1]
2019/06/14 23:39:18:120 INFO K$a.b: Got updated scene model [placeId=450, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741876/%dungeon:Red Alert/1]
2019/06/14 23:49:43:023 INFO K$a.b: Got updated scene model [placeId=424, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741841/%dungeon:Pitch Black/1]
2019/06/14 23:56:32:542 INFO K$a.b: Got updated scene model [placeId=432, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741843/%dungeon:Out in the Cold/1]
2019/06/15 00:00:56:793 INFO K$a.b: Got updated scene model [placeId=435, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741845/%dungeon:Final Resting Place/1]
2019/06/15 00:05:47:279 INFO K$a.b: Got updated scene model [placeId=154, config=[type=data.TownSceneConfig, ], scene=1/%town:Haven|Town Square/1111932038]
2019/06/15 00:07:40:913 INFO K$a.b: Got updated scene model [placeId=325, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=30893/%dungeon:The Lab/817723710]
2019/06/15 00:17:40:538 INFO K$a.b: Got updated scene model [placeId=203, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741834/%dungeon:Shock and Awe/1]
2019/06/15 00:22:01:068 INFO K$a.b: Got updated scene model [placeId=205, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741835/%dungeon:Reign of Fire/1]
2019/06/15 00:23:17:468 INFO K$a.b: Got updated scene model [placeId=206, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741836/%dungeon:Last Stand/1]
2019/06/15 00:39:48:274 INFO K$a.b: Got updated scene model [placeId=335, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=264/%dungeon:Firestorm Citadel|Blackstone Bridge/279]
2019/06/15 00:46:30:526 INFO K$a.b: Got updated scene model [placeId=338, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=266/%dungeon:Firestorm Citadel|Charred Court/278]
2019/06/15 00:54:19:995 INFO K$a.b: Got updated scene model [placeId=341, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=262/%dungeon:Firestorm Citadel|Ashen Armory/278]
2019/06/15 01:01:17:499 INFO K$a.b: Got updated scene model [placeId=342, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=268/%dungeon:Firestorm Citadel|Smoldering Steps/278]
2019/06/15 01:09:11:333 INFO K$a.b: Got updated scene model [placeId=346, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=270/%dungeon:Firestorm Citadel|Throne Room/278]
2019/06/15 01:13:40:668 INFO K$a.b: Got updated scene model [placeId=347, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=329/%dungeon:The Path is Sealed/277]
2019/06/15 01:15:33:168 INFO K$a.b: Got updated scene model [placeId=581, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=319/%dungeon:The Vanguard/801227355]
2019/06/17 21:30:46:868 INFO K$a.b: Got updated scene model [placeId=904, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=34047/%dungeon:Operation Greenhorn/146]
2019/06/17 21:39:37:705 INFO K$a.b: Got updated scene model [placeId=906, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741887/%dungeon:The Underworks/1]
2019/06/17 22:05:12:161 INFO K$a.b: Got updated scene model [placeId=919, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=34048/%dungeon:The Overworks/146]
2019/06/17 22:15:16:547 INFO K$a.b: Got updated scene model [placeId=813, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741880/%dungeon:Frost Chamber/1]
2019/06/17 22:23:57:315 INFO K$a.b: Got updated scene model [placeId=832, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741882/%dungeon:The Frozen Compound/1]
2019/06/17 22:41:01:436 INFO K$a.b: Got updated scene model [placeId=848, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=34046/%dungeon:Complex 357/146]
2019/06/17 22:57:24:074 INFO K$a.b: Got updated scene model [placeId=1098, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741920/%dungeon:Haunted Halls/1]
2019/06/17 23:13:08:428 INFO K$a.b: Got updated scene model [placeId=1117, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741922/%dungeon:Into the Maw/1]
